uuid,paragraphs
07ef6318-47ac-4e84-94a1-6d57ceb16979,"जादातर जनम कय रसम अउर नामकरन कय रसम कौने कौने समय पय होत है । जनम अउर नामकरन से सम्बन्धित चार रसम हुआ थीं उनकय नाम हैं सौरी,तिलक ,निकासन,मुंडन,नामकरन । जनम अउर नामकरन कय रसन पंडित द्वारा शुभ दिन अउर तिथि देख के निश्चित कीन जात है ।"
d1dc3855-825d-4c08-8ded-5f91bbccce95,"नामकरन के रसम मा मामा,नाना-नानी ,बुआ-फ़ुफ़ा,चाची मौसी ,दादी ,नानी सब लॊग नामकरन के रसम मा जा थीं आवा थी । जनम अउर नामकरन के समय मा मनई पूरब के दिशा मा मुंह कय के बैठा थीं । ज़नम अउर नामकरन कय विधि निकासन है । जनम अउर नामकरन के रसम मा फ़ूल-फ़ल ,केला ,पूडी,सब्जी सब लागत है ।"
63369ea5-f113-46ae-936b-b61b7af53bf2,"लरिका कय नामकरन वोहकय महतारी-बाप ,मामा-मौसी ,आदि लोग करा थी । जनम अउर नामकरन कय लरिका कय महतारी बाप,मामा-मौसी ,आदि लोग करा थी । जनम अउर नामकरन के रसम का निकासन कहा थीं वोहमा भोज हुअत है भोज मा पूडी -सब्जी,हलुआ ,दही खीर आदि भोज लगता है ।"
8f94cf2e-1a4e-45c3-a42b-16176df63aab,"जनम अउर नामकरन के समय व्यवस्था वोहकय महतारी-बाप ,घर वालेन करा थीं । आप कोनव अउर व्योरा दिया चाहा थीं येहसे सम्बन्धित -नाहीं । हां ,हमरे समाज मा भी अब लडका-लडकी से शादी से पहले मिलय लाग हैं जब से समान प्रव्रिति कय अधिकार अहय ।"
48ace2a2-b1ec-402e-a08a-64fc577e5967,"हाँ ,हमरे समाज मा लडका या लडकी खोजय के लिए लडका या लडकी के घर वाले लडका या लडकी के घर वर देखय जा थीं । लडका या लडकी खोजय कय जिम्मेदारी मुख्ययत: गाँव के पंडित या पुरोहित का दीन जात है । हमरे समाज मा शादी से सम्बन्धित रसम लगन,तिलक ,विवाह होत है ।"
60ffa2da-ec3d-4d6d-8c1b-d67d190a00a6,"समान्यत: लडकी के घर पय बिआह कय रसम लडका अउर लडकी के बालिग होय पय होत है । बिआह एंव तिथि रसम तिलक ,लगन अउर वरीक्षा,विआह होत है अउर उनकय अलग -अलग उददेश्य होत है । बिआह कय रसम दिन के समय पंडित द्वारा वर अउर वधु कय जन्म पत्रिका देख के कीन जात है ।"
df9864b7-460f-4e5a-bf32-97a66fec2f98,"बिआह के रसम मा घर के रिश्तेदार गाँव वाले बुआ ,काका ,फ़ुफ़ा,मामा,मौसी आदि लोग न्योता जा थीं । बिआह के रसम मा मनई मुख्यत: पूरब के दिशा मा मुहँ कय के बैठा थीं । बिआह के रसम मुख्यत: सिन्दूर दान ,सात फ़ेरा आदि हुअत है । बिआह के रसम मा बहुत सामान अउर चीज लागत है ।"
f1a8815d-c3c4-4671-94bc-beee44251460,"बिआह के रसम का पंडित करवावा थीं अउर लडका अउर लडकी के माँ-बाप मिल के करा थीं । बिआह के पहिलेव भोज होत है बिआह के बादव भोज होय लाग अहय । भोज मा पुडी-सब्जी खीर मिठाई ,लडडू आदि खाना बनत है । बिआह के रसम कय व्यवस्था अउर खर्चा लडकी के माँ-बाप उठावा थीं ।"
d53875b6-1fbe-4e36-b665-923000ab5140,"नाही,हम बिआह से सम्बन्धित अउर कोनव जानकारी साझा नही करा चाही थी । हमरे समाज मा मित्यु से सम्बन्धित रसम तेरहवीं अउर वरषी हुआ थै । समान्यत: म्रित्यु कय रसम म्रित्यु वाले आदमी के घरे पय हुआ थै । रसम मा म्रित्यु बहुत सारी रसम हुआ थीं उनकय बहुत सारा उददेश्य अहय ।"
721e9ed3-fbe2-4ab4-b0c1-120d048361ea,"म्रित्यु के रसम मा रिश्तेदार -नातेदार अउर गाँव घर न्योता जा थै । म्रित्यु मे रसम मा मनैइ कौने दिशा मा मुँह कयके बैठा थीं येहकय कोनव बिशेष दिशा निर्धारित नही ना । मिर्त्यु कय रसम कय बिधि गउदान,तेरहवीं अउर वरषी अहय । म्रित्यु के रसम मा गंगाजल,तुलसीपत्र,गेहुँ,आटा ,तेल पोल ,सुगंधित इत्र आदि समान लागा थय ।"
28977525-4fa3-43dc-92dd-acc5802db742,"म्रित्यु कय रसम म्रित्यु प्राप्त मनई कय आयु ,लडका ,नातेदार -रिश्तेदार आदि करा थीं । यह रसम के बाद मा तेरहवी होत है जेहमा तेरह पंडित खा थीं भोज मा पुडी -सब्जी खीर दही आदि खाना बनत है । म्रित्यु के रसम कय खर्चा अउर व्यवस्था म्रित्यु प्राप्त मनई के घर वाले रिश्तेदार -नातेदार मिलके करा थी ।"
74d31384-1789-49e8-b459-0d0e87c4ba7a,कोनव अउर जरुरी ब्योरा हमरे पास म्रित्यु से सम्बन्धित नही ना । जनम के समय बारा दिन के बाद या फ़िर एक महीना सवा महीना के बाद पूजा-कथा सुना जात है अव नामकरण के समय कोनव रसम नही होतय ।
022e74a3-ab75-4fed-abad-e77eab19f172,जनम कय रसम बारा दिन या सवा महिना के बाद होत है अव घर पय होत है नामकरन कय कोनव रसम नही होतय । हमरे तरफ़ ऐसी कोनव रसम नही होत यह लिए हमका येहकय कोनव जानकरी नही ना । जनम अउर नामकरण कय रसम बारा दिन के बाद पंडित जी के द्वारा निश्चित कीन जात है ।
636926f0-c37a-4ccd-a55f-776d28f486a4,"बुआ,मामा,मौसी अउर बाकी के रिश्तेदार सबका न्योता जात है । पुर्ब या उत्तर दिशा कइती मुँह कयके बैठा जात है । जनम अउर नामकरन कय रसम पंडित जी के द्वारा बताई गई बिधी के द्वारा कीन जात है । जनम अउर नामकरन के रसम मा लडका कय कपडा अउर बाकी पंडित जी द्वारा जौन पूजा-पाठ कय सामान बतावा जात है ऊ सब लागत है ।"
