uuid,awadhi_text,hindi_text,english_text
07ef6318-47ac-4e84-94a1-6d57ceb16979,"जादातर जनम कय रसम अउर नामकरन कय रसम कौने कौने समय पय होत है । जनम अउर नामकरन से सम्बन्धित चार रसम हुआ थीं उनकय नाम हैं सौरी,तिलक ,निकासन,मुंडन,नामकरन । जनम अउर नामकरन कय रसन पंडित द्वारा शुभ दिन अउर तिथि देख के निश्चित कीन जात है ।","ज्यादातर जन्मों के रस्म और नामकरण के रस्म कौन-कौन से समय में होते हैं। जन्म और नामकरण से सम्बंधित चार रस्म होते हैं जिनके नाम हैं सौरी, तिलक, निकासन और मुंडन। जन्म और नामकरण के रस्म पंडितों द्वारा शुभ दिन और तिथि देखकर निश्चित किए जाते हैं।","Mostly, there are four rituals related to birth and naming which are performed at specific times. These are Sauri, Tilak, Nikasan, Mundan, and Namkaran. These rituals are determined by the Pandit based on auspicious days and dates."
d1dc3855-825d-4c08-8ded-5f91bbccce95,"नामकरन के रसम मा मामा,नाना-नानी ,बुआ-फ़ुफ़ा,चाची मौसी ,दादी ,नानी सब लॊग नामकरन के रसम मा जा थीं आवा थी । जनम अउर नामकरन के समय मा मनई पूरब के दिशा मा मुंह कय के बैठा थीं । ज़नम अउर नामकरन कय विधि निकासन है । जनम अउर नामकरन के रसम मा फ़ूल-फ़ल ,केला ,पूडी,सब्जी सब लागत है ।","नामकरण के रस्म में मामा, नाना-नानी, बुआ-फूफा, चाची, मौसी, दादी और नानी सब लोग भी थे आवाज। जन्म और नामकरण के समय में सभी लोग मनाई के पूर्वाग्रह के साथ मुंह खुदाई में बैठे थे। जन्म और नामकरण का विधान बहुत पूर्वाग्रह है। जन्म और नामकरण के रस्म में फुल-फुल, केला, दाल, सब्जी और अन्य चीजें लगती हैं।","During the naming ceremony, Mama, Nana-Nani, Bua-Fufa, Chachi-Mausi, and Dadi, all went to attend the ceremony. During birth and naming ceremony, they sit facing east. Birth and naming have special customs. During the birth and naming ceremony, there are decorations of flowers, banana, and sweets, all of which require preparation."
63369ea5-f113-46ae-936b-b61b7af53bf2,"लरिका कय नामकरन वोहकय महतारी-बाप ,मामा-मौसी ,आदि लोग करा थी । जनम अउर नामकरन कय लरिका कय महतारी बाप,मामा-मौसी ,आदि लोग करा थी । जनम अउर नामकरन के रसम का निकासन कहा थीं वोहमा भोज हुअत है भोज मा पूडी -सब्जी,हलुआ ,दही खीर आदि भोज लगता है ।","लरिका के लोग नामकरण और जन्म का उत्सव धूमधाम से मानते थे। नामकरण का रस्म कहाँ होता था, इसके लिए भोज का आयोजन होता था। भोज में पूडी-सब्जी, हलुआ, दही, खीर आदि सब से भरपूर भोजन होता था।","The naming ceremony of the girl was conducted by her father, uncles, aunts and other relatives. During the birth and naming ceremony, a feast is organized where dishes like poodi-sabzi, halwa, dahi and kheer are served."
8f94cf2e-1a4e-45c3-a42b-16176df63aab,"जनम अउर नामकरन के समय व्यवस्था वोहकय महतारी-बाप ,घर वालेन करा थीं । आप कोनव अउर व्योरा दिया चाहा थीं येहसे सम्बन्धित -नाहीं । हां ,हमरे समाज मा भी अब लडका-लडकी से शादी से पहले मिलय लाग हैं जब से समान प्रव्रिति कय अधिकार अहय ।","जन्म और नामकरण के समय व्यवस्था वहाँकी महतारी के बाप सभ्यतापूर्वक करते थे। आपको शिष्ट और सामाजिक संबंध बनाने की दिशा में कोई दबाव नहीं डाला गया था। हाँ, हमारे समाज में भी अब लड़का और लड़की के बीच शादी से पहले मिलने का प्रथम लग छाया है, क्योंकि लड़का और लड़की को समान हक्क प्राप्त हो रहे हैं।","During the time of birth and naming ceremony, the arrangements were made by the grandparents and the rest of the family. They did not have any involvement in choosing the name. Yes, even in our society, it has become common to meet the boy and girl before the wedding and have equal rights and privileges."
48ace2a2-b1ec-402e-a08a-64fc577e5967,"हाँ ,हमरे समाज मा लडका या लडकी खोजय के लिए लडका या लडकी के घर वाले लडका या लडकी के घर वर देखय जा थीं । लडका या लडकी खोजय कय जिम्मेदारी मुख्ययत: गाँव के पंडित या पुरोहित का दीन जात है । हमरे समाज मा शादी से सम्बन्धित रसम लगन,तिलक ,विवाह होत है ।","जी हाँ, हमारे समाज में लड़के या लड़कियों के दूसरे लड़के और लड़कियों के घर वाले को अपने लड़के या लड़की के लिए देखा जाता है। लड़के या लड़की को खोजना गाँव के पंडित या पुरोहित को सौंप दिया जाता है, जिसकी जिम्मेदारी आमतौर पर ग्राम के पंडित या पुरोहित को दी जाती है। हमारे समाज में शादी से सम्बंधित घटनाओं में रस्में होती हैं जैसे कि लगन, तिलक और विवाह।","Yes, in our society, when searching for a boy or a girl for marriage, the boy or girl's family would visit the boy or girl's home. The responsibility of finding a suitable boy or girl mainly lies with the village pandit or priest. In our society, there are customs and traditions related to marriage such as engagement, tilak ceremony, and the wedding."
60ffa2da-ec3d-4d6d-8c1b-d67d190a00a6,"समान्यत: लडकी के घर पय बिआह कय रसम लडका अउर लडकी के बालिग होय पय होत है । बिआह एंव तिथि रसम तिलक ,लगन अउर वरीक्षा,विआह होत है अउर उनकय अलग -अलग उददेश्य होत है । बिआह कय रसम दिन के समय पंडित द्वारा वर अउर वधु कय जन्म पत्रिका देख के कीन जात है ।","सामान्यतः लड़की के घर पे पैसे से शादी का काम और लड़का और लड़की दोनों बालिग होने पे होता है। शादी और तारीख का रिवाज, तिलक, विवाह और वृक्ष विधियों द्वारा होता है और उनके अलग-अलग उद्देश्य होते हैं। शादी की रस्म दिन के समय पुजारी द्वारा दुल्हन और दूल्हे दोनों की जन्मपत्रिका को देख के की जाती है।","Usually, the ceremony of marriage takes place at the girl's house when the boy and girl become adults. The rituals of marriage include applying tilak, engagement, and exchanging rings, and each serves a different purpose. The marriage rituals are determined by the priest based on the birth charts of the groom and bride, and it is performed during the day."
df9864b7-460f-4e5a-bf32-97a66fec2f98,"बिआह के रसम मा घर के रिश्तेदार गाँव वाले बुआ ,काका ,फ़ुफ़ा,मामा,मौसी आदि लोग न्योता जा थीं । बिआह के रसम मा मनई मुख्यत: पूरब के दिशा मा मुहँ कय के बैठा थीं । बिआह के रसम मुख्यत: सिन्दूर दान ,सात फ़ेरा आदि हुअत है । बिआह के रसम मा बहुत सामान अउर चीज लागत है ।","शादी के रस्म में घर के रिश्तेदार गांववाले बुआ, काका, फूफा, मामा, मौसी आदि को न्योता जाता है। शादी की रस्म में लोग मुख्यतः पूर्व की ओर मुंह के बैठे होते हैं। शादी की रस्म में सिंदूर दान, सात फेरे आदि होते हैं। शादी की रस्म में बहुत सारी सामग्री और चीजें जरूरी होती हैं।","During the marriage ceremony, the relatives from the village such as aunts, uncles, grandmothers, and maternal and paternal uncles were invited. During the marriage ceremony, the main ritual takes place with the bride sitting facing the east. The main rituals include giving of sindoor (vermilion) and taking seven sacred steps around the sacred fire. A lot of items and things are required for the marriage ceremony."
f1a8815d-c3c4-4671-94bc-beee44251460,"बिआह के रसम का पंडित करवावा थीं अउर लडका अउर लडकी के माँ-बाप मिल के करा थीं । बिआह के पहिलेव भोज होत है बिआह के बादव भोज होय लाग अहय । भोज मा पुडी-सब्जी खीर मिठाई ,लडडू आदि खाना बनत है । बिआह के रसम कय व्यवस्था अउर खर्चा लडकी के माँ-बाप उठावा थीं ।","विवाह की रस्म का पंडित करवावा था और लड़का और लड़की के माता-पिता मिलकर कराते थे। विवाह के पहले भोज होता है और विवाह के बाद भोज होता है। भोज में पूरी सब्जियां, खीर, मिठाई, लड्डू आदि खाना बनता है। विवाह की रस्म के लिए व्यवस्था होती है और लड़की के माता-पिता इसका खर्च उठाते हैं।","The pandit performed the rituals of the marriage, and the boy and girl's parents came together to conduct the ceremony. The first feast of the wedding is the pre-wedding feast, and the second is the post-wedding feast. The feast includes dishes like pudi-sabzi, kheer, sweets, laddoos, and others. The expenses and arrangements for the marriage were taken care of by the girl's parents."
d53875b6-1fbe-4e36-b665-923000ab5140,"नाही,हम बिआह से सम्बन्धित अउर कोनव जानकारी साझा नही करा चाही थी । हमरे समाज मा मित्यु से सम्बन्धित रसम तेरहवीं अउर वरषी हुआ थै । समान्यत: म्रित्यु कय रसम म्रित्यु वाले आदमी के घरे पय हुआ थै । रसम मा म्रित्यु बहुत सारी रसम हुआ थीं उनकय बहुत सारा उददेश्य अहय ।","नहीं, हम विवाह से संबंधित कोई और जानकारी साझा नहीं करना चाहते थे। हमारे समाज में मृत्यु से संबंधित रस्म तेरहवीं और वर्षी हो गई है। आम तौर पर मृत्यु के बाद की रस्म मृत्यु होने वाले आदमी के घर में होती है। रस्म में मृत्यु के लिए कई सुविधाएं होती हैं जिनका बहुत सारा उद्देश्य होता है।","No, we did not want to share information related to marriage. In our society, there is a tradition related to death, which occurs on the thirteenth day after the person's passing. Generally, this tradition takes place at the house of the deceased. There are many rituals involved in this tradition, and they serve a significant purpose."
721e9ed3-fbe2-4ab4-b0c1-120d048361ea,"म्रित्यु के रसम मा रिश्तेदार -नातेदार अउर गाँव घर न्योता जा थै । म्रित्यु मे रसम मा मनैइ कौने दिशा मा मुँह कयके बैठा थीं येहकय कोनव बिशेष दिशा निर्धारित नही ना । मिर्त्यु कय रसम कय बिधि गउदान,तेरहवीं अउर वरषी अहय । म्रित्यु के रसम मा गंगाजल,तुलसीपत्र,गेहुँ,आटा ,तेल पोल ,सुगंधित इत्र आदि समान लागा थय ।","मृत्यु के रस्मा में रिश्तेदार, नातेदार और गाँव के लोग घर न्योता जा ते थे। मृत्यु में रस्मा में मनुष्य किसी भी दिशा में मुँह करके बैठता था, किसी विशेष दिशा का निर्धारण नहीं होता था। मृत्यु का रस्मा कैसे और किस तरह से कुछ दान किया जाता था, उसकी तेरहवीं में और बारहवें वर्ष में होती थी। मृत्यु के रस्मा में गंगाजल, तुलसीपत्र, गेहूं, आटा, तेलिया थाना, सुगंधित इत्र और अन्य सामग्री होती थी।","The ritual of death involves inviting relatives, in-laws and people from the village to the house. During the ritual, the deceased's soul wanders in all directions and no specific direction is determined. The ritual of death involves offering holy water, basil leaves, wheat, oil lamp, scented oils and other items on the thirteenth day and in the following year. Various items such as ganga water, tulsi leaves, wheat, oil for lamps, scented oils and perfumes are used in the ritual of death."
