uuid,awadhi_text,hindi_text,english_text
3ee38de2-74ce-4d13-b15f-8ca3ee57e52a,"हम कब कहित है कि यू अच्छा काम भवा । दौलतिपुर मा तो अइस रिवाज कबहू नहीं रहा । यहिमा रिवाज का करी ,पहिले जउन भवा रहै तउन ? पहिले का भवा रहै ? तुम यार गनीमियाँ ,यकदमै लुल्ल हौ ,तुम अपन लकड़ी छीलौ -तुम रन्दा बढ़िया चलावति हौ ,बाकी बँभनन के रिवाज तुम का जानौ ?।","हम कभी नहीं कहते हैं कि यह अच्छी आदत है। दौलतिपुर में ऐसा कोई सवालबाजी का रिवाज़ कभी नहीं रहा। इस भाग में क्या रिवाज़ होता था, जो पहले होता था? पहले में क्या रिवाज़ था? आप तो हमारे दोस्त गनीमियां, आप तो बहुत भोले हो, आप अपना लकड़ी छिलो-आप कुशलतापूर्वक चाकू चलाते हो, लेकिन आप बाकी रिवाज़ों को क्या जानते हो?","We never say that it's a good practice. There was never such a custom in Daulatipur. Why talk about customs now, what about the past? What used to be in the past? You, friend Ganimiya, are completely naive, you just peel your wood - you operate the planer well, but what do you know about the customs of the Brahmins?"
15527982-32cf-4e6f-bf4f-e85aba7bc391,काहे सकटू भाई ?' हम का आने गाँव ते आये हन ...? पहिले जब या बेवा चन्दा हनुमान दादा ते बियाहु कीन्हेसि रहै तो तब रिवाज रहै ? तेलिन ते बँभनन क रिस्ता कहूँ सुने हौ ?” हम तो सुना है हनुमान दादा चन्दावती ते रिस्ते खातिर खुदै संकर के घर गये रहैं ।'तब बात अउरि रहै तब हनुमान दादा जउन कहि देत रहैं वहै सब मानति रहैं ।' तब उनका रुतबा रहै । अब जब वहे नहीं रहे तो उनकी रखैल का घर मा की राखी ?,"भाई सकटू, हमारा क्या कारण है कि हम अपने गाँव से इस गाँव में आए हैं...? क्या पहले जब यह बेवा चंदा हनुमान दादा की शादी हुई तब इसका कोई रिवाज था? क्या आपने इस तेल व्यापारियों और ब्राह्मणों के बीच का संबंध सुना है?"" हमने सुना है कि हनुमान दादा खुद ही चंदावती की शादी के लिए संकर के घर गए थे।"" तब ही तो बार-बार बताते हैं कि हनुमान दादा ने क्या कहा था वह सब स्वीकार किया गया था, उनका रुतबा बहुत उच्च था। अब जब वह यहाँ नहीं हैं तो उनकी रखैल का घर क्यों बचा है?","""Why, brother Sakatu? Why have we come from another village...? Was there a custom when widow Chanda was married to Hanuman Dada? Have you ever heard of a relationship between oil traders and Brahmins?"" I have heard that Hanuman Dada himself went to Shankar's house for the relationship with Chandavati. 'Things were different then; whatever Hanuman Dada said was respected. 'He had a status then. Now that he is no more, what's left in his mistress's house?"
3219f55b-1063-463f-bbc8-3009e4330008,"का सकटू भाई ?... उन दुनहू का बाकायदा बिहाव भवा रहै तो चन्दावती रखेल कइसे भयीं ? तो जाव तुमहे फैसला कराय आव । अरे हम फैसला का करैबै ,लेकिन यह बात तो ठीक नहीं है । तुम्हारि राय जब माँगी जाय तब बतायेव । हम तौ छोटकउनू महराज के साथ हन ।","क्यों, भाई सकटू? ... अगर दोनों को रस्मी तौर पर शादी किया गया था, तो चन्दावती रहेल कैसे बनीं? तो जाओ, तुम ही फैसला करो। हाँ, मैं भी फैसला करूंगा, लेकिन यह सही नहीं है। जब मांगा जाये तो मैं अपनी राय बताऊंगा। मैं छोटे महाराज के साथ हूं।","""What, brother Sakatu?... If both of them were officially married, how did Chandavati become a mistress? Then you go and make a decision. Hey, I will make a decision, but this isn't right. I will tell my opinion when asked. I am with the younger Maharaj."""
bbb34f59-549b-4d6a-b7b1-4facee155d2b,"का कहति हौ ,तुम तौ हनुमान दादा के साथै घूमति फिरति रहौ ?” तो का हुइगा ? उइ मरिगे तो का उनके साथै हमहू सरगै चले जायी ? जीके तीर तथा कथा वहिके साथ रहै मा फायदा होति है । मुला तुम न समझि पइहौ गनी भाई । तुम तौ परधान के साथी हौ ?”","""का कहते हो, क्या तुम हनुमान दादा के साथ घूमते फिरते हो?"" तो क्या होगा? उनका निधन होता है तो क्या हम भी उनके साथ स्वर्ग में जाएँगे? आवश्यकता के समय तीर और शस्त्रों के साथ रहना लाभदायक होता है। मुझे लगता है तुम नहीं समझते, गनीमिया भाई। क्या तुम परधान के साथ हो?""","""Why are you always wandering around with Hanuman Dada?"" ""Then what will happen? If he dies, will we also go to heaven with him? It's beneficial to stay with someone who has arrows and stories. You don't understand, naive brother. Are you friends with the headman?"""
f8c484ee-9e20-4063-b785-dcf227a06c56,"हाँ भइया,हम तो सही आदमी के साथ हन । हमका खुदा के घर जाना है ।"" यहि तना के बतकहाव अइसी वइसी सुरू हुइगे रहैं । तनिक देर मा एक लरिकवा परधान के घर ते लौटा तो कुंता ते बतायेसि अबही परधान दादा घर पर नही हैं ,वुइ लखनऊ गये हैं । कब तक अइहै ? कुछ पता चला ?","हाँ भाई, हम सही व्यक्ति के साथ हैं। हमें भगवान के घर जाना है। यह तरह का बातचीत शुरू हो गई है। जब कभी बाद में एक लड़का पदाधिकारी के घर से लौट कर बताती है कि धन्यवाद पदाधिकारी दादा वापिस घर पर नहीं हैं, क्योंकि वे लखनऊ चले गए हैं। वे कब तक वापस आएंगे? कुछ पता चला?","""Yes brother, I am with the right person. I have to go to God's house. This sort of conversation had just started. After a little while, a boy returned from the headman's house and told Kunta that the headman was not at home, as he had gone to Lucknow. When will he return? Did you get any information?"""
0674d77e-0020-43d0-b861-7750e884131b,"परधानिन कहती रहैं कि वुइ काल्हि अइहैं । ठीक है चन्दावती तुम अबहीं हमरे साथ चलौ । ए संकर तुमहू चलौ ,चली रजाना ,बसि बहुत हुइगा । ई भगमच्छर ते कुछौ न होई । काल्हि रामफल भैया आय बेरिया बखत पर सब रसम बिधि ते कीन जायी।'भौजी तुम सिवपरसाद के ससुर क्यार पाट अदा करौ,फूलमती भौजी-छोटकउनू भइया बनै तो मामिला जमि जायी।","प्रधान का बोला कि उसका वापस कल होगा। ठीक है चन्दावती, तुम अभी मेरे साथ चलो। हे शंकर, तुम भी चले चलते हैं, रजाना, अब बताओ क्या करें। इन चीजों से कुछ नहीं होगा। कल जब रामफल भाई समय पर आएंगे तो सभी पूजा-अभिषेक कर दिए जाएंगे। भाभी, तुम शिवप्रसाद के ससुर से भूमि का भुगतान पूरा कर दीजिए, और अगर फूलमती भाभी छोटे भाई के लिए बीवी बन गई तो मामला ठीक हो जाएगा।","""The headman's wife said that he will return tomorrow. Alright, Chandavati, you come with me now. Hey, Shankar, you come too, let's go Rajana, enough is enough. Nothing will happen with these nuisances. Tomorrow, when Ramphal brother comes at the right time, all rituals and procedures will be done. Sister-in-law, you complete the land payment to Shivparsad's father-in-law, and if Sister-in-law Phoolmati becomes the younger brother's wife, the matter will be settled."""
350fe089-54fc-48ce-8630-d93b7ff1d31e,"हमते जौनु कइहौ कइ ल्याबै,मुला फूलमती ते तुमहे पूछि लेव। ठीक है। छोटी तुम की-क्यार पाट करिहौ? हम तौ हनुमान दादा बनिबे। बहुत मजा आयी,सबका तयार करौ। सबका तुम बताय देव कि को कौन पाट करी सबका तयार होय मा टेम लागि जायी। तुम तयारी करौ हम सबका फिट करिति है।' .","हम जो कहते हैं वह तुम सुनो, मुला। फूलमती से तुम से पूछ के लायो। ठीक है। कोमल, तुम क्या कर रहे हो? हम तो हनुमान दादा के भाग्य से होइ जाएंगे। उसका स्वाद आया, सबको तैयार करो। सबका तुम बता दो कि कौन को ले रहा है, सबको तैयार होने में इससे देर न हो। तुम तैयारी करो हम आएंगे और सबको उपयुक्त करेंगे।","Our intention is to ask you, dear Phoolmati, what you want. Okay then. When will you get married? We will become Hanuman Dada. It will be a lot of fun, we will prepare everything. Tell everyone to get ready and we will go to Dev's house together. You prepare, we will make everything perfect."
c74c15e2-549d-4042-bb96-40d38fdae6d4,"गेन्दा,हनुमान दादा कम मनेजर क्यार पाट जादा अदा करै लागि। आँगन मा सबै मेहेरुआ अकट्ठा भई,फिरि सब मिलिकै तय कीन्हेनि। गाँव भरेकि खास मेहेरुआ नकटौरा मा सामिल भई। पूरा आँगन भरा रहै। आँगन के साथ जुड़ा बरंडा स्टेज तना तयार कीन गवा। यहि नौटंकी मा सयानी बिटेवा औ बियाही मेहेरुआ सामिल रहैं,लरिका नान्हि बिटेवा औ मनइन का हियाँ घुसै कि मनाही रहै। काहे ते नकटौरा मा मेहेरिया मंसवन कि नकल उतरती हैं। सब मनई बरात के साथ चले जाति है तो घर मा बसि मेहेरुआ रहि जाती है। यू नकटौरा बरात बिदा होय वाली राति मा ख्याला जाय वाला याक तना क्यार नाटक आय। खास बात यहै है कि यहिमा सब बातै खुलिकै कइ लेती है, यू तौ नकटौरा रहै अदमी बनिकै कबहूँ कबहूँ आपस मा मनइन तना गारी दै कै बतलाती हैं।","गोपाल, हनुमान दादा का छोटा मैनेजर है जो अपने दाल-रोटी की नौकरी से ज्यादा समय आँगन में बिताता है। वह अपनी निला लगावट और लाल ऑनले धोती में बदला हुआ है, और सभी बहुत स्थान लेतार होकर थड़ बतुहावर बैठ जाते हैं। गुमसुदा जनों खास तोर पर जिस तरह से अधिगमन से भरपूर गांव के अंदर जुल्हई लो मजालेस मनी से नाम काट जाती हैं, इससे अन्ग्रेज थोकर थोकर करै करै हाथ मार देता हो। स्टेज की सब वो इस दुनियां जगह वैर्नाह के लिका वाले बतौर बतौर नौ गाड़ खै जाती है। रहाली तोड़ा जिन्हे स्टेज लेवल मा जाना हही। स्टेज के साथ जोड़ेको अकड़परयोन का सभी लोलकार्ल बंगला मा साझि बनाती हैं। गुनाहों बेका के हैं। ए नाटक माँ सत जापता। छोटौ से अप्रताथे यकि टैण्या होऽ। सब के साथ जरुआ तो तन तन के पायैट से सैरतता है मुस्लिमान। रात कमो मोरत रोति है। जब मेहरुआ के ओरात का पैसा दंद तभ पता नही होते हैं तो नकटौरा रहे सोचति हैं कि कमने के बाद कुआँ मि ग्रन्थ।

आप कसौर समझ्या देतो हो भइए सकौ। रामदास के उन सभी माँ बिलायें साथ रख है। हो जिस आँगन में संके अदमी रोतहां है, वो अदमी कुआँ में जाकर पुन्जि तपेला रोडेंजिवत्कही गाबे। राम से सब सेब साथ रात्रि पैन्टेंद पलंङ्ग रावा ले वो आगनों चौन् खा रहा हैं। यहि रोड सभी की तुच्छा सब ही कुई आगाद नेम रैट थ्रट कि नंगां औं साइर मेरी रखें। 'द्वारिन' डब औं किंयक खुद स्तरा में सीना सहित गाई हैं। जिंदगाकी साली हैं मोई देःअपभाव करनेस हूं टांकी। स्पे तोड़ेरौख मात्र हैं मोई किन्यो सीव मा रहपरिवेट सुंगोष्टा गाड़ंच हैं।","Genda, Hanuman Dada never takes care of the manager and pays his dues on time. Everyone in the courtyard joined forces and ensured that everything was done. People from all over the village came and joined in the special festivities. The entire courtyard was full. Along with the courtyard, a stage was set up for the show to begin. In this play, wise and married Mehriya also participate, while the young unmarried girls are too shy to show their faces. In this show, the skill of imitating the gestures and movements of the groom's party is shown. Everything is then packed up and returns home with the bridal party. This is when the special night when the groom's party leaves, the thought of the strolling village play comes to mind. The special thing is that here, all secrets are exposed, and in this lively atmosphere, the villagers reveal stories of the groom's party, sometimes with a satirical spin to it."
3ebea3ac-cb18-46d8-82be-e53f1e6542d6,"गेन्दा हनुमान दादा ते पहिलेहे मिलति रहै। इस्टेज अब तयार हुइगा रहै। गेन्दा हनुमान दादा क्यार पाट कै रही रहै-मरदन के रोल करै वाली सबै मेहेरुआ अदमिन के कपड़ा पहिरि लीन्हेनि रहै। अपने रोल के हिसाब ते सबु मेकप कै लीन गवा रहै। दुइ गैसबती जलाय के आमने सामने खूटी पर टाँगि लीनी गयी रहैं। बसि फिरि आगे नकटौरा सुरू भवा-‘भैया,छोटकउनू!द्याखौ दुआरेकचार कि बेरिया हुइगै है।",,"Genda meets Hanuman Dada for the first time. The stage is set and Genda is ready. Hanuman Dada is getting dressed, putting on all the makeup and costumes for his role. He is getting ready to play the role of Maradana, the villain. His assistants are helping him with the makeup and applying the makeup, shampoo, and all sorts of things according to his role. Two gas lights are lit and placed in front of his makeup table. Natkhat, Genda's little brother, sits in front of his makeup table and says, ""Brother, Little brother! Look at these gorgeous costumes!"""
b392c40f-9b4e-4262-ba2a-c13466e079a3,"फूलमती छोटकउनू के रोल मा रहै,बोली, हाँ दादा अबहे पता करित है। मिसिर महराज बहुत ढील मनई है। अबही अइपनवारी ले खातिर नउआ तके नही आवा। परदीप क्यार रोल कै रही बिटेवा नकटोरा मा छाय गै रहै। अब सिंगार औ मोहब्बति वाले गाना सुरू हुइगे रहैं। कुछ नई उमिरि वाले लँउडे फिल्मी गाना गावै लाग रहैं। अब सब हनुमान दादा के पीछे परे रहैं। नकटौरा अपने रंग पर रहै। हनुमान दादा क्यार रोल गेन्दा बुआ करती रहैं। उनका न मालुम कहाँ ते हनुमान दादा केरि काँपी मिलिगै। वहिमा तमाम कबिता लिखी रहैं। वहे काँपी ते उइ याक कबिता सुनावै लागीं-याक दाँय हमरी चन्दावती हमते रूठि गयी रहैं तो वहिका मनावै बदि या कबिता लिखे रहन,सुनौ सब जने। वुइ अपने तरंग मा सुर ताल ते गावै लागीं-","ताक दादा के जाय बइठिटो कि सुनौ कबिता।

फूलमती छोटकौने से पूछ चली, ""हाँ दादा, अब तो वो जान गये होंगे ना? मिसिर महाराज बहुत चिंता में हैं। अभी तक नौकरी की तलाश नहीं हुई है। परदीप उसके साथ भी सोच रहा है। अब तो साड़ी गानों का जदुई समय आ गया है। लोग अब नयी चोटी-छोटी फिल्मी गानों के मामले में भी उत्सुक हो चुके हैं। सब हनुमान दादा के आगे इशारों पर हिलते हुए घूमते हैं। अपने अंदाज़ में आपत्तजनक दिखे जाना इन्हें पसंद नहीं है। ये कविताएं लिखते हैं और हम लोग उनकी कविताओं को पढ़ते समझते नहीं हैं। अब तो सब उस पर चलवा जाया करते हैं। वह खा कर रहते हैं और हम लोग उनकी पसंद की कविताएं लिखते रहते हैं, ताकि उमर बुढ़िया नोकरिया और उन बुढ़िया के घर वालों को मनाने में सक्षम हों। वही कविता हमारे सुनाने को लड़कर हमसे पूछती है - 'मेरी छन्न्ना ये बदर कर हमसे न रूथी थी तो तुमको कविता का प्रसार क्यों करना पड़ा?'

हमने देखा है उसको गीत-सत्संगत करते हुए और उसके लिए वह अपने अंदाज़ के समझाव दिए हुए हैं। ये दो दियों का विवाद कैसे पैदा होता है। हम सब मानते हुए यह लगता है कि परदीप कैसे सब देखते हुए कविता लिखते हुए इस नकटौरे को बताना परदीप के मन के हर एक प्रधान दादा के मन के उता पढ़ा। हो जाती है। ये जाते हैं इसलिए हैं कि उसको जम लगने का शानदार समय है। वे चाहते हैं कि उसका घूँघटों वाला खिला ले रहें। दूसरा तुम शंकर किचुटी न कर कहती तो ठाकुर केरि की बिचरा बाला होगई है। हम कांपु तविका गेंदा बुआ करते हुए सबको तो ये कहत होगा मैं हिन्दिस्तान का डबकर हूँ। वहम जासूसी करते हुए भौजी सब के साथ गुमराह हो रहे हैं। सिंगार आपको बावे करते हुए आप कविताओं को सुनाते हैं और फिर अर्पण याद से लेते हैं। अशुभ नहीं होगा। आगे हमें कहाँ पसंद नहीं होगा!","अहह याक तुम्हारो इश्क़ मनावे गइला, धीरज रहो साहिबा।

Phoolmati is feeling sad and thinking to herself, ""Yes, my younger sister-in-law is still upset. Let me go and check on her."" She goes to Misir Maharaj's room, who seems to be in a bad mood. He is not willing to listen to anyone at the moment. Phoolmati decides to go to her sister-in-law's room to see if she can cheer her up. She finds Chandavati lying on the bed, lost in thoughts. Phoolmati sits beside her and tries to comfort her. She says, ""Listen to some good songs, it will help distract you from your worries."" She starts singing some popular movie songs, while Chandavati slowly starts to feel better. Phoolmati continues, ""Everyone is behind Hanuman Dada these days. But do you know who is behind Naktaura?"" Chandavati replies, ""I have no idea. Even Hanuman Dada doesn't seem to know."" Phoolmati smiles and says, ""He is writing poems for Naktaura. He will recite them in front of everyone. Listen to this one, it's about you and your husband."" She recites, ""Oh Chandavati, my sister-in-law, if you are upset with me, let me make it up to you. I will write poems to make you happy, everyone will hear them. And you can sing along to your own tune, Oh dear one, my love for you will never fade, stay strong."" As Phoolmati finishes singing, she sees Chandavati smiling and feeling better. She knows that her sister-in-law's smile is worth all the effort."
