uuid,paragraphs
30e3b7aa-cc2c-467a-88f8-31fcfa7ef6d7,बियाह होखला के बाद चाहे पहिले घर वालन हलवाई के बेवस्था करलन ताकी उ सारा घर के लोगन के खाना बना सके। साथी साथ उ खाना मे चावल दाल रोटी सबजी दहि बाड़ा कढ़ी बड़ी मोछी गुलाब जामून सलाद बुनिया आदी परोसेलन।
6e01beaa-6be7-4649-ae8b-13f4755dda89,लइका के जामे के दिन अ ओकर नाम रखे के दिन पतरा देख के कइल जाला। पण्डि जी पतरा देखेलन अ बतावे लन कौन दिन शुभ बा अ उ दिन मे कौन सा समय शुभ बा। ताकी ई सारा कार्य परोजन सहि से होसके।
406d2b9e-a9ed-48d6-b7a8-d6797d28eaed,बियाह के खरचा अ ओकर बेवस्था के कुल जिमा घर के सारा परिवार के लोग सम्हालेलन। खास कर के लइका और लइकी के पिता जी। बियाह पण्डि जी करवावेलन। जब केहु के आपन लइका या लइकि के बियाह करेके होला त उ ई बात अपन सारा रिस्तेदार दोस्त यार सगंघ्तीया मे बतावेलन। और जब उनके पता चलेला के फनला घरे लइका अ लइकी बियाहे के बीया त उ अपन लइका या लइकी के रिस्ता लेके ओकरा घरे जायलन। त जब उ जायलन त उ फहनला घरे जाकर के बोलेलन के हमरा आपन लइका या लइकी के बियाह करेके बा। और इनका के अगुआ कहल जाला।
f265975c-95ee-4318-bcdb-ed98f6968361,सबसे पहिले जब लइका जनम लेवेला त एक या दू दिन के बाद ओकरा नहवाइल जाला। फिर छठ्ठा दिन छठ्ठी होयला बरहवा दिन बरहि होयला ओर बिसवा दिन बिसौरी होयला। ओकरा बाद पांच महिना के बाद ओकर नाम करण होयला।
c1549c27-1330-47fe-a7ad-ec6d2d46a9e7,जब कोइ मरेला तो ओकर शरीर शमशान घाट पर ले जा कर ओकर अंतिम संस्कार होला। फिर ओकरा बाद लोग शमशान घाट से घरे आवेलन और उ इनसान के आत्मा के शांती खातिर तेरह दिन के कार्य परोजन करेलन। बियाह मे सारा रिस्तेदार और आस पड़ौस के लोगन के बुलावल जाला।
278e9fdb-9805-421f-ad95-8393219de014,मुअला पर दू तीन तरह के क्रीया करम होला जेकरा मे मरला के नौ दिन तक लोग गड़ूड़ पूराण सुनेलन और दसवां दिन दसवां मनाइल जाला तेरहवां दिन तेरहवां मनाइल जाला। इ सारा क्रीया करम एसे होयला ताकी जे इसांन मरल बा ओकर आत्मा के शातीं मिले और स्वर्ग के प्राप्ती हो और साथी साथ ओकरा मोक्श के प्रदान होय।
afd73ea8-c464-4785-bee4-b0efd554fa93,लइका के नाम धरावे के दिन लोग उन्हां बइठेलन जहान पर नाम करण के पुरा कार्य करम होयला। और साथ हि सारा लोग पुरब दिसा मे बइठेलन। मुअला पे सारा रिस्तेदार के बुलाइल जाला। बियाह के करमठ के सुरूआत मारो गड़इला ले होला। हां।
3ab06c1f-f773-4a6f-9194-b7d5a8396bb7,लइका के जमला और नाम रखे दिन लइका के नहवाइल जाला और फिर ओकरा के नया कपड़ पिहनाइल जाला। फिर माई ओकरा अपन गोद मे लेकर के उ स्थान पे बइठेले जहां सारा कार्य क्रम इ होत रहेला। क्रीया मे बहुत सारा समान के जरूरत होयला जइसे काला तील जौउ कूस आदी।
1af4c969-755f-4c04-af5f-19990735bdc3,बियाह मे लोगन के दरी पर ना त कुर्सी पर बइठावल जाला। मुअला के करम क्रीया घर वाला निभावेलन। जोना दिन लइका के नाम धरायला उ दिन खाय पिये के भी बेवस्था होयला। ओर खाय पिये मे तरह तरह के पकवान और मिश्ठान बनेला जइसे पूरी सबजी पुलाओ गुलाब जामुन दहि बाड़ा रयतो बुनिया आदी।
cb306876-2d94-47f7-8ddc-27e417635cf1,बियाह जब लगन के साइत होला तब होला। परिवार के लोग ई तय करेलन कइ उ लगन के साइत मे कौना दिन उनका के बियाह करेके बा। लइका के जनम पतरा के हिसाब से ओकर नाम रखायला। और उ नाम कोई भी रख सकेला। चाहे त लइका के माय बाप रखे चाहे ओकर बुआ रखस चाहे ओकर दादा दादी रखस चाहे ओकर नाना नानी रखस। एकरा मे कोई ई नइखे की ओकरे रखे के बाटे एकरा मे कोई भी नाम रख सकेला जेकर जइसन मन होखे।
99ae3485-d6dc-4550-8bea-b52630664f09,ना बियाह के बारे मे सारा जनकारी बतादिहल गइल बा। लइका के जमला से ले ओकर नाम धरे के दिन तक के खरचा और कुल बेवस्था के जिम्मेदारी लइका के बाउ जी उठावेलन। हमरा बिरादरी मे आंठ दस तरह के करमठ होला जइसे तीलक होगइल हल्दी होगइल द्वार पूजा होगइल कोहरत उतारल जाला मठकोर होगइल बरमाला होगइल आदी। कुवरत जब कोहरत मे का होयला के लइका के कब कूवांर होयला त ओकर कुअरत उतारल जाला। जयमाल मे दुल्हा दुल्हन एक दूसरा के माला डालेलन। द्वार पूजा मे जब बारात लेके लइका आवेला त लइकी के घर के द्वार पर उ पूजा करेला। तिलक मे का होला कि लइकी के पक्छ के लोग अकर के लइका घरे ओकर तिलक चढ़ावेलन। मठकोर मे होला के लइका के पक्छ के लोग मदींर मे जायलन अ ओजा लइका के माता मदिंर मे पूजा करेली आदी।
ea5b441f-1d4d-473f-bbe0-69820f7f266a,लइका के जनमला के एक दू दिन बाद जब ओकरा नहवाइल जाला त घरे के लोग रहेलन। फिर जब छठ्ठा दिन छठ्ठि मनाइल जाला त रिस्तेदार के बुलाइल जाला। खास करके लइका के ननिहाल के लोग के। जब बारहवा दिन बरखी मनावल जाला त रिस्तेदार के त बुलइले जाला ओर आस पड़ोस के लोग के भी बुलाइल जाला। जब बिसवां दिन बसौरि मनावल जाला त उहो दिन सारा रिस्तेदार के बुलाइल जाला।
f99d6b1d-d3ee-4fe9-a927-8db9264870bf,सारा जान कारी बतादिहल गइल बा और कौनो जानकारी सेस नइखे। लइका के जमला से लेके ओकरा नाम रखे के बारे मे और कुछ जानकारी नइखे। सारा जानकारी बतादिहल गइल बा। हमरा बिरादरी मे बियाह खातिर पांच छौ गो करमठ कइल जाला।
4c76b2e5-40eb-4ee3-b3bc-ed290a9fd8fe,लइका के जमला और नाम धरावे के काम पण्डी जी करेलन। और जब उ पतरा देखेलन और पूजा करवा लेवेलन तब ओकर नाम रखायला। लइका जब जनम लेवेला सन त ओकर एक या दो दिन के बाद लइकन के नहवावल जाला। फिर लइका के जनम लेला के छठहवां दिन छठ्ठि मनावल जाला जेकरा मे लइका के काजल होयला। फिर बरहवां दिन बरखी मनावल जाला जेकरा मे लइका के नाखुन उखुन काटल जाला। ओकरा बाद बिसवां दिन बिसौरि मनावल जाला। फिर सावा महिना बाद लइका के शुद्धि करण होयला। फिर पांच महिना के बाद लइका के नाम करण होयला।
6ce46df7-8e4e-4b10-bfd5-e1775956e355,सबसे पहिले लोग शमशान घाट पर लेजाकर अंतिम संस्कार करलन। ओकरा बाद घरे आकर के आगे के क्रीया करम करेलन। बियाह खातिर बहुत सारा चीज के जरुरत पड़े ला। जइसे माड़ो गाड़े खातिर बालू के जरुरत पड़ी बांस के जरूरत पड़ी। ओइसेही मटकोर करे खातिर परोसा के जरूरत पड़ी दौड़ी के जरूरत पड़ी। साथी साथ ढोलक के गीत गावे खातिर जरूरत पड़ेला। पूजा मे भी बहुत सारा सामान के उपयोग होखेला जइसे पान पत्ता होगइल सुपाड़ी होगइल जनेउ होगइल रोरी होगइल अबिर होगइल अक्छत होगइल कपूर होगइल आदी।
5350c7ea-d735-4e90-9aca-6125ef73946f,मुअला पे क्रीया करम के शुरूआत गरुड़ पुराण के कथा के साथ होयला। केहु के मुअला पे पइसा लत्ता के जुगार घर वाला करेलन। लइका लइकी खोजे खातिर लइका ओर लइकी के परिवारे के लोग जिम्मेवार होला। ई कुल काम पतरा देख के सुभ मुहुरत मे होयला। जइसे कि छठ्ठा दिन छठ्ठी होयला त ओकरा खातिन पतरा मे देखल जाला के छठ्ठि के दिन कौन सा मुहुरत अच्छा बाटे उहे टाइम छठ्ठि होयला। ओएसेहि बरहवां दिन बरहि होयला ओकरो खातिन पतरा देखल जायला ओर सुभ मुहुरत निकाल जाला। उहे तरह बिसवां दिन बसौरी होयला त ओकरो खातिन पतरा देखल जाला अ मुहुरत निकालल जाला अ नामो रखला खातिन समय निकालल जाला और सुभ मुहुरत मे नाम रखल जाला। और साथी साथ इ सारा काम लइका के आजी घरे होयला।
